Mod Name,Project ID,File ID,Version,Author(s),Summary,File Size (Bytes),Game Versions
CoroUtil,237749,5096038,coroutil-forge-1.20.1-1.3.7.jar,Corosus,Library Mod for Weather/Tropicraft/ZombieAwareness/etc,64187,"Client, NeoForge, 1.20.1, Forge, Server"
U Team Core,273744,6050182,U-Team-Core-Forge-1.20.1-5.1.4.346,HyCraftHD,This libary contains many usefull modding stuff,587603,"1.20.1, Forge"
Bountiful Blocks,1086661,5933544,Bountiful Blocks [Forge] 0.9.8 - 1.20.1,ultimatech,Enhance your builds with various new blocks expanding on Minecraft's existing blocksets !,5191146,"Client, 1.20.1, Forge, Server"
Structural Statues,642885,5505668,Structural Statues 1.0.0 ,TrueRealCursed_Warrior,Adds a Bunch of new Stone Statues that you can find in the Overworld,30895,"1.20.1, Forge"
LibX,412525,5207625,LibX-1.20.1-5.0.14.jar,"noeppi_noeppi, MelanX",LibX is a library mod with a lot of code that is shared between mods.,1258082,"1.20.1, Forge"
Block Layering,305561,4622252,blocklayering-1.20.1-1.0.3.jar,Lothrazar,"Many Snow-layer type blocks: dirt, leaves, concrete",244381,"NeoForge, 1.20.1, Forge"
Explorify ? Dungeons & Structures,698309,5722938,v1.6.2,bebebea_loste,"A simplistic, vanilla-friendly collection of new structures.",974818,"1.19.3, 1.20.2, 1.21, 1.20.5, 1.19.4, Fabric, 1.21.4, 1.19.2, NeoForge, 1.20.3, 1.20.1, Forge, 1.20, 1.20.6, 1.19.1, 1.20.4, 1.21.3, 1.21.1, Quilt, 1.19, 1.21.2"
Create Jetpack,655608,5739559,Forge 4.3.2,possible_triangle,Upgrade your backtank and utilize the pressurized air to fly,224988,"1.20.1, Forge"
Cloth Config API (Fabric/Forge/NeoForge),348521,5729105,[Forge 1.20(.1)] v11.1.136,"shedaniel, LinkieIsBetterThanK9",Config Screen API for Minecraft,1181413,"NeoForge, 1.20.1, Forge, 1.20"
Watering Overlay,1032770,5599292,Watering Overlay 1.20.1 NeoForge 1.0.3,CakeIsTastyDeveloper,"Help you in your farming exploits to see what crops are out of range of water, or to plan out your farms!",97700,"Client, NeoForge, 1.20.1, Forge, Server"
Smelting Plus [Fabric & Forge],759685,4769423,Smelting Plus [Fabric-Forge-Quilt] v1.0.5 MC 1.20.2,redstone3game,Smelting Plus is a simple mod that allows for better recycling when you smelt your found or crafted items.,257425,"1.20.2, Fabric, 1.20.1, Forge, 1.20, Quilt"
[SBM] Charcoal Block,312122,4580104,SBM-CharcoalBlock-1.20.1-1.1.0.jar,BuiltBroken,Charcoal version of the vanilla coal block,13712,"1.20.1, Forge, 1.20"
Iron Nugget Recycling,1118534,5965971,Iron Nugget Recycling 1.13-1.21.4,creep,Lets you smelt most iron-requiring items into Iron Nuggets. Must-have for Vanilla+ playthroughs.,18757,"1.17.1, 1.16.3, 1.13.1, 1.19.3, 1.20.2, 1.21, 1.16.1, 1.18.1, 1.20.5, 1.14.4, 1.14.1, 1.17, 1.14.3, 1.15, 1.16, 1.13, 1.19.4, Fabric, 1.16.5, 1.21.4, 1.18.2, 1.19.2, NeoForge, 1.20.3, 1.15.2, 1.14, 1.20.1, Forge, 1.20, 1.20.6, 1.19.1, 1.20.4, 1.21.3, 1.21.1, 1.18, 1.16.4, 1.14.2, Server, 1.16.2, Quilt, 1.19, 1.13.2, 1.15.1, 1.21.2"
DarkOrb - Orb of Origins Recipe,893320,5115808,darkorb-forge-1.20.1-1.0.3.jar,GamerPotion,Craft an Orb of Origin using custom recipes for the origins mod,6519,"Client, 1.20.1, Forge, Server"
Samurai Dynasty,848381,5672395,samurai-dynasty-0.0.48-neo-1.20.1-beta,VeroxUniverse,New armors and tools with custom 3D-models in a japanese style.,2365860,"Client, NeoForge, 1.20.1, Forge, Server"
CTD Core,258186,5166874,ctd-core-1.20.1-2.4.9.jar,TheMasterGeneral,A small library file for CTD mods.,44642,"1.20.1, Forge"
Team ProjectE,689273,5402805,teamprojecte-1.20.1-1.1.4.jar,6LeoY,Sync your ProjectE knowledge and EMC with your friends!,49824,"Client, NeoForge, 1.20.1, Forge, Server"
Bobby Reforged,883502,4650227,Bobby Reforged 1.20.1-5.0.1,Txni,Allows for render distances greater than the server's view-distance setting,86682,"1.20.1, Forge"
Cinch's Better Deepslate,1008640,6079194,cinchsbetterdeepslate-1.3.2-1.20.1.jar,cinchtail,"A mod that adds new deepslate blocks, re-does deepslate crafting recipes, and adds new deepslate tools. Blackstone tools are also added.",151867,"Client, NeoForge, 1.20.1, Forge, Server"
Farmer's Cutting: Regions Unexplored,1133629,5930694,[Forge] FC: RU 1.20.1-1.1a,Joshcraft2002,Adds Farmer's Delight cutting recipes for Regions Unexplored,102656,"1.20.1, Forge, Server"
Quark Structures,1145561,5995064,quarkstructures-1.0.1-1.20.1,Project_Count,Adds structure to Quark. Quark style.,25224,"Client, 1.20.1, Forge, Server"
Pyrite,1101500,6032288,pyrite-0.15.10+1.20.1.jar,cassiancc,"Variations of Vanilla blocks, including dyed wood planks and bricks, new material blocks and more to complete your colourful builds.",4563768,"Fabric, Client, NeoForge, 1.20.1, Forge, Server, Quilt"
Fortune on Netherite,995076,5312998,Fortune on Netherite 1.1.0 (Forge 1.20.1).jar,Acherkan,This mod allows you to use fortune on ancient debris,38421,"1.20.1, Forge, Server"
Euphoria Patches,915902,6137786,EuphoriaPatcher-1.5.2-r5.4-forge.jar,SpacEagle17,"Euphoria Patches is an add-on for Complementary Shaders, extending it with more optional features and settings.",727871,"1.16-Snapshot, 1.17.1, 1.16.3, 1.13.1, 1.19.3, 1.20.2, 1.21.2-Snapshot, 1.21, 1.15-Snapshot, 1.16.1, 1.18.1, 1.19.4-Snapshot, 1.20.5, 1.14.4, 1.14.1, 1.17, 1.20.2-Snapshot, 1.20.5-Snapshot, 1.14.3, 1.15, 1.16, 1.13, 1.19.4, 1.19-Snapshot, 1.21.1-Snapshot, 1.16.5, 1.21.4, 1.21.5-Snapshot, 1.18.2, 1.19.2, 1.20.3-Snapshot, 1.20.3, 1.15.2, 1.14, 1.20.1, Forge, 1.20, 1.20.6, 1.19.1, 1.20.4, 1.21-Snapshot, 1.21.3, 1.20-Snapshot, 1.21.1, 1.17-Snapshot, 1.18, 1.16.4, 1.14.2, 1.18-Snapshot, 1.16.2, 1.19, 1.21.4-Snapshot, 1.13-Snapshot, 1.14-Snapshot, 1.13.2, 1.15.1, 1.19.3-Snapshot, 1.21.2"
Better Fusion Reactor for Mekanism PLUS,602409,5550305,BetterFusionReactor-1.20.1-1.4.8.jar,igentuman,Reinvention of Fusion Reactor and new stuff,398437,"Client, NeoForge, 1.20.1, Forge, Server"
Ad Astra: Giselle Addon,714958,6119244,Forge-1.20.1-6.18,gisellevonbingen,"Add things be more convenience, compatibility for Ad Astra!",458371,"1.20.1, Forge"
Silent Gear,297039,5640724,silent-gear-1.20.1-3.6.6.jar,SilentChaos512,"Upgradeable tools, weapons, and armor. Custom materials system!",2734438,"Client, 1.20.1, Forge, Server"
GregTech Placeable Emitters,1056934,6012474,greg_emitters-1.20.1-1.0.9.jar,cyb0124,"This mod makes GregTech's emitters placeable in-world. When powered, placed emitter blocks shoot beam that transfers energy to the machine it hits.",755753,"Client, NeoForge, 1.20.1, Forge, Server"
TIS-3D,238603,5266274,TIS-3D-MC1.20.1-1.7.7,Sangar,Low-tech computing for Minecraft,683484,"1.20.1, Forge"
Medieval Music[Forge/Fabric],521932,4612835,zmedievalmusic-1.20.1-2.1.jar,someaddon,Add medieval music to your world,304414053,"Client, 1.20.1, Forge, 1.20"
DoubleConnectedGlass,361445,4835036,ConnectedGlass - 1.20.1 - v03,Epidra2077,Lets different Glass Blocks look like one connected Structure,26426,"1.20.1, Forge"
Diamethyst Medieval Weapons,1024161,5371470,DM Weapons 1.0.1-1.20.1,mc_goodch,An official extension of the Diamethysts mod that adds a range of medieval weaponry.,371015,"NeoForge, 1.20.1, Forge"
All-sided blocks,701579,4554792,All-sided Blocks V. 1.1.0 (1.20) [Fabric],ProceduralPolygon,"Adds decorative versions of some blocks, with the nicest texture on all sides",247556,"Fabric, Client, 1.20.1, 1.20, 1.20-Snapshot, Server"
Astrocraft: Realistic Night Skies,1010757,5842026,astrocraft-1.4.5+1.20.1.jar,pymsrps,"Configurable astronomy mod that adds real life stars and planets to the night sky, with changes to the sun / moon, eclipses and shooting stars",14466003,"1.20.2, Fabric, Client, 1.20.3, 1.20.1, Quilt"
Xaero's World Map,317780,5987149,1.39.2 for Forge 1.20(.1),xaero96,Adds a fullscreen worldmap which shows you what you have explored in the world. Can work together with Xaero's Minimap.,931860,"1.20.1, Forge, 1.20"
Bosses of Mass Destruction Delight,1104104,6064471,bossesofmassdestructiondelight-1.1.0.1-1.20.1,Project_Count,Adds compatibility between Bosses of Mass Destruction and Farmer's Delight. Vanilla style.,31406,"Client, 1.20.1, Forge, Server"
Naturally Charged Creepers,324586,6185510,[Fabric/Forge/Neo] 1.20.1-3.6 | Naturally Charged Creepers,Serilum,?? Allows creepers to spawn charged in order to increase the game's difficulty.,29298,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Tinkers Construct Trade,1143375,6134620,tinkersconstructtrade-1.0.2.1-1.20.1,Project_Count,Adds Tinkers Construct items to vanilla trader offers.,10950,"Client, 1.20.1, Forge, Server"
Bad Wither No Cookie - Reloaded,261251,5969233,bwncr-forge-1.20.1-3.17.2.jar,Kreezxil,Localizes the wither and dragon death sounds.,28225,"Client, 1.20.1, Forge"
Awesome Dungeon The End edition - Forge,575406,4601238,Awesome dungeon the end 3.1.1 - Forge 1.20.1,jtl_elisa,Add a structure in your dimension the END !!!,208946,"1.20.1, Forge"
CodeChicken Lib 1.8.+,242818,5753868,CodeChicken Lib 1.20.1-4.4.0.516,"covers1624, Chicken_Bones",Contains various tools to make modding easier.,1472390,"NeoForge, 1.20.1, Forge"
Paxi (Forge),515708,4749994,[1.20] Paxi v4.0 (Forge),YUNGNICKYOUNG,Global data & resource packs made easy.,96892,"1.20.1, Forge, 1.20"
Auto Planting Forests,444013,4621321,autoplant-1.20.1-1.0.1.jar,Lothrazar,Saplings self-plant themselves when they are de spawning,14330,"NeoForge, 1.20.1, Forge"
Apotheosis Artifacts,1131743,6121468,apotheosisartifacts-1.0.1.2-1.20.1-beta,Project_Count,Adds compatibility between Artifacts and Apotheosis. Vanilla style.,22314,"Client, 1.20.1, Forge, Server"
YUNG's Better Ocean Monuments (Forge),689238,4883003,[1.20] YUNG's Better Ocean Monuments v3.0.4 (Forge),"YUNGNICKYOUNG, TeraBuildsStuff",A complete redesign of Minecraft's ocean monuments!,1033262,"1.20.1, Forge, 1.20"
Project Red - Illumination,229046,6107615,ProjectRed-1.20.1-4.20.1-beta+4-illumination.jar,"MrTJP, covers1624",Illumination module for the Project Red series,771009,"NeoForge, 1.20.1, Forge"
Oculus,581495,6020952,Oculus mc1.20.1-1.8.0,Asek3,"Unofficial Fork of ""Iris"", made to work with FML",2851119,"Client, NeoForge, 1.20.1, Forge"
ProjectE Integration,313402,5742253,ProjectE_Integration-1.20.1-7.2.5.jar,TagnumElite,Adds ProjectE conversions for recipes from other mods!,240279,"1.20.1, Forge"
Mekanism: Ad Astra Ores,945470,5402760,mekanism-ad-astra-ores-1.0.0.jar,Unlock_Liberty,Adds Mekanism ores on Ad Astra planets.,136891,"Client, NeoForge, 1.20.1, Forge, Server"
Customizable Player Models,439870,6189210,CustomPlayerModels-1.20 v0.6.21a,tom54541,Customize your minecraft avatar!,2773985,"1.20.1, Forge, 1.20"
Diamethysts!,606423,6104146,Diamethysts 1.9.7-1.20.1,mc_goodch,"Adds a strong, mystical, crystalline material to Minecraft.",1377005,"NeoForge, 1.20.1, Forge"
Kiwi ?? (Neo/Forge),303657,6184688,[Forge 1.20.1] 11.8.30,Snownee,Minecraft modding library,1632776,"NeoForge, 1.20.1, Forge"
Too Fast,550678,4627738,toofast-1.20-0.4.3.5.jar,"Noobanidus, ZestyBlaze","Fixes ""moved too quickly"".",3875,"1.20.1, Forge, 1.20"
Sculky Bits,547635,4584771,Sculky Bits 1.0.1 - 1.20,KaboomRoads,Adds 1.19 sculky bits to your game.,272190,"1.20.1, Forge"
Thermal Foundation,222880,5443583,thermal_foundation-1.20.1-11.0.6.70.jar,"TeamCoFH, KingLemmingCoFH",The Foundation of a Thermally Expanding World!,4549423,"Client, NeoForge, 1.20.1, Forge, Server"
Biomes O' Plenty Delight,1095870,6061417,biomesoplentydelight-1.1.0.1-1.20.1,Project_Count,Adds compatibility between Biomes O' Plenty and Farmer's Delight. Vanilla style.,43794,"Client, 1.20.1, Forge, Server"
"Get It Together, Drops!",411045,4578649,getittogetherdrops-forge-1.20.1-1.3.jar,bl4ckscor3,Adds tags and configuration options for defining how dropped items should combine.,7863,"1.20.1, Forge, 1.20"
Copper Nugget [Fabric/Forge/NeoForge],699596,4633717,coppernugget-1.20.1-0-forge.jar,Mars,Adds the one missing nugget ,7152,"Client, 1.20.1, Forge, Server"
FancyMenu,367706,6186995,[Forge] v3.4.4 MC 1.20.1,Keksuccino,Customize Minecraft's menus with ease!,3086571,"1.20.1, Forge"
Pufferfish's Attributes [Fabric & Forge & NeoForge],991341,6157071,puffish_attributes-0.7.2-1.20-forge.jar,Pufferfish,Adds more attributes to the game.,228642,"Client, 1.20.1, Forge, 1.20, Server"
Cobbled Stone & Mixed Blocks (Cobblestoney),582368,4622439,cobblestoney-1.20.1-1.0.1.jar,Lothrazar,"Cobbled Granite, Cobbled Tuff, Sandy Dirt, Sandy Clay, Mudstone, Siltstone, Clay Dirt, Silty Dirt, Loam, Mud, Cobbled Andesite",128176,"NeoForge, 1.20.1, Forge"
Nether Portal Spread,342097,6185499,[Fabric/Forge/Neo] 1.20.1-8.4 | Nether Portal Spread,Serilum,?? Spreads (nether) blocks to the overworld around nether portals in a configurable radius.,59004,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Ore Growth,919885,6010540,Ore Growth 1.1.4 for Forge 1.20.1,SuperMartijn642,Ore Growth adds crystals which can grow on ores!,227205,"Client, 1.20.1, Forge, 1.20, Server"
What is 'Stone'? (Colorful Caves),853161,5175855,1.20.1_FORGE_v1.0,Numerosity,"Let's add a bit of spice to the existing caves, vanilla style!",830523,"Client, 1.20.1, Forge, 1.20, Server"
Legendary Survival Addon,1197707,6182405,legendarysurvivaladdon-1.2.0.jar,gaboouu,Add new way to cooling and heating with create,52290,"Client, 1.20.1, Forge, Server"
DimStorage,353882,4717497,DimStorage-1.20.1-8.0.1,3divad99,DimStorage with DimChest and DimTank,173589,"NeoForge, 1.20.1, Forge"
Just Enough Painting Previews (JEPP),546740,4655063,jepp-1.20-1.1.2.jar,MehVahdJukaar,A JEI/REI addon that displays all available paintings,35911,"1.20.1, Forge"
Botarium,704113,5486070,[Forge/NeoForge] Botarium 2.3.4,"CodexAdrian, terrariumearth, ThatGravyBoat","A crossplatform API for devs that makes transfer and storage of items, fluids and energy easier, as well as some other helpful things",157633,"NeoForge, 1.20.1, Forge"
Double Doors,348831,6186164,[Fabric/Forge/Neo] 1.20.1-6.1 | Double Doors,Serilum,"?? Multiple identical double doors, trapdoors and fence gates can be opened simultaneously.",49122,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
EdivadLib,638508,4717006,EdivadLib-1.20.1-2.0.1,3divad99,Just a common library for all my mods,14561,"NeoForge, 1.20.1, Forge"
playerAnimator,658587,4587214,player-animation-lib-forge-1.0.2-rc1+1.20.jar,KosmX,player animation library,181437,"1.20.1, Forge, 1.20"
XK's Decoration,497637,6099000,[Forge 1.20.1] 0.8.5,"xekr, Litt1eBai, Snownee","a multi-purpose decoration mod that adds more than 600 blocks, featuring a variety of themes ranging from many ancient civilizations to sci-fi punk or factories.",3601056,"NeoForge, 1.20.1, Forge"
Create Deco,509285,5293982,createdeco-2.0.2-1.20.1-forge.jar,"talrey, OrdanaryMods, Kayladillo",Industrial decoration themed around the aesthetics of the Create mod.,3966138,"1.20.1, Forge"
Ars Technica,1096161,6171478,ars_technica-1.20.1-1.3.0.jar,zeroregard,A Create-centered addon mod for Ars Nouveau,3476196,"Client, 1.20.1, Forge, Server"
Advancement Counter,1138447,6131796,advancement_counter-2.0.0-forge-1.20.1.jar,r_y_o_t_o,Counts your completed Advancements (modded too!) and displays the total amount on the player list. Single and Multiplayer.,8417,"1.20.1, Forge, Server"
Create: Framed,953126,5935206,[v1.5.6+1.20.1-FORGE] Create: Framed,DakotaPrideModding,A Create mod addon that adds more Framed Glass variants.,922756,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
Easier Shulkers - Open Shulker Boxes from inventory!,630100,5188276,EasierShulkers-1.20.2-1.1.0.jar,CodeSloth,Open shulkerboxes right from the inventory! Easy as that! ,12186,"1.20.2, Client, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Origins Classes Merchant Infinite Trade Patch,1066891,5546163,originclasseszoomerpatch-1.0.jar,pandaismyname1,"Changes the Merchant class to be able to trade more, instead of infinetly",12397,"Client, 1.20.1, Forge, Server"
Minecart Spawner Revived,949355,5928402,[Forge 1.20.1] Minecart Spawner Revived v0.0.1,SteveKunG,Reviving Minecart Spawner with bug fixes and small improvements!,25162,"1.20.1, Forge"
Handcrafted,538214,5118729,[Forge] Handcrafted 3.0.6,"terrariumearth, kekie6, AlexNijjar",Make your house a home!,7111059,"1.20.1, Forge"
Convenient Curios Container,544033,4611511,Convenient Curios Container 1.13 - Forge 1.20,LeoBeliik,A convenient way to store your trinkets!,43921,"NeoForge, 1.20.1, Forge, 1.20"
Deepwoken origins,959516,5026326,Deepwoken Origins 1.1.0.jar,Chlorosulfuric,An origin mod addon that adds races from deepwoken,25922,"1.20.1, Forge"
Lightman's Currency,472521,6146349,lightmanscurrency-1.20.1-2.2.4.2a.jar,Lightman314,A simple currency/economy mod that allows you to safely trade in a multiplayer environment.,6913070,"Client, 1.20.1, Forge, Server"
Mineral Chance,412956,6185566,[Fabric/Forge/Neo] 1.20.1-3.8 | Mineral Chance,Serilum,?? Players can find minerals inside stone-type blocks when mining in the overworld and nether.,29412,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Nirvana-Biomes,1165136,6178813,nirvana_biomes-1.2.0-forge-1.20.1.jar,STM19,"Add 2 New biomes in Overworld and Nether also modifies Vanilla biomes and also add new trader , ore, armor and Weapon",1910365,"Client, 1.20.1, Forge, Server"
ModernFix,790626,6125143,modernfix-forge-5.20.2+mc1.20.1.jar,embeddedt,"All-in-one mod that improves performance, reduces memory usage, and fixes many bugs. Compatible with all your favorite performance mods!",821631,"1.20.1, Forge"
PackagedMekemicals,609886,5569052,1.20.1-1.2.2.7,TheLMiffy1111,Use Mekanism Chemicals in PackagedAuto,119468,"NeoForge, 1.20.1, Forge"
Architectury API,419699,5137938,[Forge 1.20(.1)] v9.2.14,"shedaniel, Juicebus, MaxNeedsSnacks",An intermediary api aimed to ease developing multiplatform mods.,580602,"1.20.1, Forge, 1.20"
Tom's Simple Storage Mod,378609,6093707,Tom's Storage 1.20-1.7.0,tom54541,Simple vanilla style storage mod,519961,"1.20.1, Forge, 1.20"
Refined Cooking,543972,4706949,refinedcooking-4.0.0.jar,ItsSebastrn,A mod that allows Refined Storage and Cooking for Blockheads to work together!,143116,"Client, 1.20.1, Forge, Server"
Iron Spells Dungeons,1117039,6128477,ironspellsdungeons-1.0.3.1-1.20.1,Project_Count,Adds more magical dungeons and structures for Iron's Spells 'n Spellbooks.,51610,"Client, 1.20.1, Forge, Server"
Create: Crystal Clear,669724,5402291,Crystal-Clear-2.1-Beta-forge.jar,singularity_cyvack,A mod that adds glass casings to create,200048,"Client, NeoForge, 1.20.1, Forge, Server"
Metal Bundles [Forge & Fabric],891325,5157075,[FORGE] [1.20.1] MetalBundles-v8.0.2,Fuzs,"Use bundles like never before with many intuitive interactions. And there's more bundles, much larger!",529752,"1.20.1, Forge"
Book Fishing,511858,5352686,Book Fishing 1.0.0,TrueRealCursed_Warrior,Adds a lot More Enchanted Books to Fishing,44273,"1.20.1, Forge"
Autumnity,365045,6151402,Autumnity 1.20.1 - 5.0.2,"TeamAbnormals, bageldotjpg, martianarchitecture",Introduces small autumn-themed biomes with seasonal content!,1221037,"NeoForge, 1.20.1, Forge"
[BPOP]Botany Pots Ore Planting,872868,5655310,BPOP-Forge-7.22.0+1.20.1.jar,mango_buff,This is a Mod that can grow minerals.,327752,"1.20.1, Forge"
Animal Armor Trims - Horse & Wolf,1008327,5328249,[Forge/Fabric] Animal Armor Trims - MC 1.20.1 - 1.0.0,"Lupin, jason13official",Now you can add trims to horse and wolf armor!,353368,"Fabric, NeoForge, 1.20.1, Forge"
Controllable,317269,6171424,Controllable 0.21.7,MrCrayfish,Play Minecraft Java Edition with a Controller,7567057,"1.20.1, Forge"
Galosphere,631098,4983871,Galosphere 1.20.1 - 1.4.1 - FORGE,orcinus73,"This mod aims to improve the underground by adding new cave biomes, mobs, ores... etc",34909449,"1.20.1, Forge"
Crying Ghasts,344360,6186273,[Fabric/Forge/Neo] 1.20.1-3.6 | Crying Ghasts,Serilum,"?? Ghasts drop their tears periodically when a player is close, allowing sustainable farming.",26922,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Croptopia Delight,932098,6194183,Croptopia Delight 1.16.5-1.20.1 v1.3.0 Forge,Ropyxa,This part of an extensive mod adds the integration of Croptopia recipes with Farmer's Delight and their addons.,84699,"1.17.1, 1.18.1, 1.16.5, 1.18.2, 1.19.2, 1.20.1, Forge, 1.20, Server, 1.19"
Xtones Reworked,694231,5907303,xtonesreworked-1.0.4-F_1.20.1-47.2.0.jar,TobsenD,"Port of the Mod Xtones that adds various of modern, futuristic, and fantasy style decorative building blocks",1315408,"Client, 1.20.1, Forge, Server"
Stone Chest,307052,5389562,Stone Chest 1.20.1 1.0.0,?_?,Stone variations vanilla chests.,77951,"1.20.1, Forge"
Golems Are Friends Not Fodder,684459,4577902,golemsarefriends-1.20.0-1.0.1.jar,LobsterJonn,"This mod makes Armorer, Toolsmith and Weaponsmith villagers attempt to repair damaged golems in their village during daytime.",13051,"NeoForge, 1.20.1, Forge, 1.20"
Better Smithing Table,875744,5972656,Better Smithing Table 2.0.0 (Forge),jjblock21,Makes the smihting menu look better,22339,"Client, 1.20.1, Forge, 1.20"
Mysterious Mountain Lib,368098,5842004,mysterious_mountain_lib-1.5.17-1.20.1.jar,sz0999312,a library for MMF-Group's mod,304359,"Client, NeoForge, 1.20.1, Forge, Server"
Mineable/Minable AllTheModium Ores,1173606,6062359,matmores-1.0-SNAPSHOT.jar,ton185,Allows fake players (quarries etc.) to mine all AllTheModium ores,8507,"1.20.1, Forge, Server"
Vacuum Blocks,862714,4716106,Vacuum blocks 1.20.1,Draggonfire1,Adds Vacuum Blocks To The Game,320747,"1.20.1, Forge"
AE2: Crafting Tree,1086241,5947280,ae2ct-1.20.1-1.0.4.jar,nimeng1299,give Applied Energistics 2 add a crafting tree,231882,"1.20.1, Forge"
Create: Interiors,906239,5694662,Interiors 0.5.6 for Forge 1.20.1,"syslev, rdh","A complement to the Create mod that adds new, functional furniture.",591437,"Client, NeoForge, 1.20.1, Forge, Server"
LDLib,626676,6133711,LDLib 1.20.1-1.0.34-forge,KilaBash,"A libarary for rendering, gui, basic stuff, etc",3020707,"1.20.1, Forge"
Chunk Loaders,402924,4850872,Chunk Loaders 1.2.8a for Forge 1.20.1,SuperMartijn642,Chunk Loaders allows you keep chunks loaded with different tiers of chunk loaders!,154217,"NeoForge, 1.20.1, Forge, 1.20"
Elytra Slot (Fabric/Forge/Quilt),317716,5778734,elytraslot-forge-6.4.4+1.20.1.jar,TheIllusiveC4,Adds curio support to the elytra so you can fly and wear chest armor at the same time. Formerly known as Curious Elytra.,100660,"1.20.1, Forge, 1.20"
Skin Layers 3D (Fabric/Forge),521480,5970916,1.7.4-1.20.1 - Forge,tr7zw,Render the player skin layer in 3d!,483278,"1.20.1, Forge"
Sol's Origin Addon,880031,5305106,solsoriginaddon-0.9-forrealthistime.jar,Sol,An addon mod for origins that adds more armor and items.,71734,"1.20.1, Forge"
Vintage Delight,949719,5847856,vintagedelight-0.1.6.jar,Ribs498,"Pickling, farming and cheese, a feature packed farmers delight expansion.",1120218,"Client, 1.20.1, Forge, Server"
Loot Integrations: Mo' Structures,1149302,6174500,lootintegrations_mostructures-1.1.jar,someaddon,"Adds better loot to Mo' Structures chests and bosses, including modded loot",5319,"1.21, Fabric, 1.18.2, 1.19.2, NeoForge, 1.20.1, Forge, 1.21.1, Server"
Colourful Earth,882731,4624479,Colourful Earth - MC 1.20.1 - 2.1.0,"Lupin, DoubtfulFanboy",now you can dye the earth in your favorite color,294157,"NeoForge, 1.20.1, Forge"
Botany Pots Tiers,526754,5953202,BotanyPotsTiers-Forge-1.20.1-6.0.2.jar,Ultramegaaa,Adds better Botany Pots from Botany Pots,868071,"NeoForge, 1.20.1, Forge"
More Axolotl Variants Mod,498797,5242620,v1.2.6 (1.20.1+),AkashiiKun69,Adds more axolotl variants!,792700,"Fabric, Client, 1.20.1, Forge, 1.20.4, Server"
Functional Storage,556861,5650296,functionalstorage-1.20.1-1.2.12.jar,Buuz135,Your classic storage drawers but with more upgrades!,679572,"1.20.1, Forge"
Woodlands : The Core,1130703,6027172,Woodlands_Vanilla-Universal-1.20.1-v1.2.2.jar,darsenia,"Vanilla biomes overhaul, bigger and more realistic trees as well as other small visual improvements",5965204,"Fabric, 1.20.1, Forge"
AzureLib,817423,6004977,neoforge 2.0.41,AzureDoomC,Based off Geckolib but now just for my own needs. ,757383,"NeoForge, 1.20.1, Forge"
Apotheosis,313970,6147871,Apotheosis-1.20.1-7.4.6.jar,Shadows_of_Fire,All things that should have been.,2798724,"NeoForge, 1.20.1, Forge"
Extra Keybinds,537099,4806733,1.20.1/1.20.2,"Charonym, DaddyUnion",Extra keybinds for use with the Forge version of the Origins mod.,5147,"1.20.2, 1.20.1, Forge"
Travel Anchors,413234,4683662,TravelAnchors-1.20.1-5.0.1.jar,CastCrafter,Adds Travel Anchors from EnderIO ,89405,"Client, 1.20.1, Forge, Server"
Lexiconfig,1019452,5433945,[FORGE] Lexiconfig 1.3.11,CodinGlitch,"This is a config API that aims to provide many integrations alongside other libraries, and to be as easy as possible to use, for both developers and users alike.",38240,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4, 1.18, 1.19"
Cloud,996974,6053463,cloud-1.0.1.1,Project_Count,"Introducing the cloud block, enabling you to place blocks in the air effortlessly.",16117,"Client, 1.20.1, Forge, Server"
Crying Upgrade,1011475,5304864,Crying_Upgrade-v1.0-FORGE-1.20.1.jar,OFFLlNE_PLAYER,Additional uses for that useless Crying Obsidian.,88155,"Client, 1.20.1, Forge, Server"
Sophisticated Backpacks,422301,6194202,sophisticatedbackpacks-1.20.1-3.23.5.1200.jar,P3pp3rF1y,"Yet another backpack mod this time with backpack you can place in world, color in different color combinations, upgrade with more inventory and enhance with many functional upgrades",896741,"NeoForge, 1.20.1, Forge"
Enchanted Monsteroom,1109205,6045590,enchanted_monsteroom-4.00.5-forge-1.20.1.jar,SmartStreamLabs,Old monsteroom is boring? this mod adds a bigger monsteroom!,178348,"Client, 1.20.1, Forge, Server"
Ars Nouveau Delight,1074539,6097406,arsnouveaudelight-1.1.1-1.20.1,Project_Count,Adds compatibility between Ars Nouveau and Farmer's Delight. Vanilla style.,173932,"Client, 1.20.1, Forge, Server"
Tiny Gates,522875,4594228,tinygates-1.20-4.0.0.jar,Danny_and_Son,Adds tiny redstone gates that you can use to form tiny integrated circuits.,178552,"1.20.1, Forge, 1.20"
Rustic Engineer,1026067,5907189,rustic_engineer-1.20.1-1.0.9.jar,Mizz,Using wood and metal to create all kinds of machines,3189385,"1.20.1, Forge"
