// Compost colors for eternal_tales. You may add your own colors, change existing ones, or remove colors that aren't needed.
absolute_zero, #ffffff
starter_kit, #ddd9cc
stigma_of_omega, #ffffff
stinky_tincture, #ffffff
stone_of_great_destruction, #ffddff
stone_of_the_lost_memories, #b1ffe3
stone_of_victim, #fff1b2
stone_plate, #f7f2ee
stone_stick, #ffffff
stones_test, #ffffea
storm_emblem, #eeeef1
straw_hat_helmet, #ffffeb
stray_armor_chestplate, #cadddd
stray_armor_helmet, #ffffff
stray_armor_leggings, #eefbfc
stress_pills, #f1deda
structure_placeholder_big_enchanced_island, #7f707d
structure_placeholder_comets_interdimensional_structure, #726e73
structure_placeholder_comets_portal, #b4beb6
structure_placeholder_comets_quest, #757278
structure_placeholder_desert_pyramid, #f2f4e4
structure_placeholder_eden_dark_island, #bbc297
structure_placeholder_eden_volcano, #a0a48c
structure_placeholder_end_interdimensional_structure, #7a7282
structure_placeholder_gardens_of_eden_interdimensional_structure, #828275
structure_placeholder_ghost_tower, #7c737f
structure_placeholder_kingdom_of_amber_interdimensional_structure, #9a7f72
structure_placeholder_lands_of_karvat_interdimensional_structure, #7d7c7c
structure_placeholder_nether_interdimensional_structure, #7f756f
structure_placeholder_nyetet_tower, #646261
structure_placeholder_overworld_interdimensional_structure, #97a5a0
structure_placeholder_purgatorium_interdimensional_structure, #655f5f
structure_placeholder_rayana_interdimensional_structure, #6f826c
structure_placeholder_scary_calvary, #656565
structure_placeholder_unahzaal_interdimensional_structure, #646664
structure_placeholder_vivid_dungeon, #949097
structure_placeholder_volcanech_interdimensional_structure, #938376
stunned_drop, #ffffff
stunned_drop_activated, #ffffff
sulfur_barrel_ranged, #ffffff
sulfur_battle_torch, #ffffff
sulfur_campfire, #8394a1
sulfur_fire_charge, #1e5b83
sulfur_juice, #ffffff
sulfur_lantern, #728cb1
sulfur_lantern_top, #728cb1
sulfur_torch, #94987a
sulfur_torch_side, #94987a
sun_gun, #ffffff
sun_stone_nugget, #ffffe7
sun_strike, #ffffff
sunbloom_clothes_chestplate, #ffffff
sunbloom_clothes_leggings, #ffffff
sundusa_obese, #ffffd9
sunflame_bug, #ffffff
sunfurry_army_commander_armor_boots, #646446
sunfurry_army_commander_armor_chestplate, #afae6c
sunfurry_army_commander_armor_helmet, #333025
sunfurry_army_commander_armor_leggings, #585136
sunfurry_clothes_boots, #ffffff
sunfurry_clothes_chestplate, #fffad3
sunfurry_clothes_leggings, #ffffff
sunfurry_fur, #ffcf51
sunfurry_messiah_clothes_chestplate, #ffd0a7
sunfurry_messiah_clothes_helmet, #ffdec9
sunfurry_messiah_clothes_leggings, #fffff1
sunfurry_nizaris_armor_boots, #403925
sunfurry_nizaris_armor_chestplate, #573c2a
sunfurry_nizaris_armor_helmet, #878065
sunfurry_nizaris_armor_leggings, #331e1e
sunfurry_soldier_smithing_template, #ccc6cd
sunfurry_warrior_armor_boots, #504a36
sunfurry_warrior_armor_chestplate, #6c654e
sunfurry_warrior_armor_helmet, #706234
sunfurry_warrior_armor_leggings, #4e4837
sungrass, #ffffe4
sunhog_leather, #fbfb83
sunlin_leather, #ffffa8
sunshine, #ffffff
sunstone_spear, #ffffff
superman_emblem, #c8c6eb
supernova, #894a6b
survivor_smithing_template, #a7a08e
suspicious_masks, #ffffff
sweet_rabbit, #ffc290
sword_of_divine_flames, #ffffe6
sword_of_eyes, #ffeae6
sword_of_the_fallen_king, #f7cabc
swordfish, #ffffff
tales_of_comets, #725c6c
tar_dew, #b2dae1
tarantula_eye, #ffffff
tarantula_eye_soup, #615f19
tayemiyadoht_tapinella, #ffffff
tayemiyadoht_tapinella_seeds, #ffffff
tea_cup, #ffffff
tea_leaves, #ffffff
tea_seeds, #ffffff
tearing_obsidian, #fff7ff
teethknocker, #ffffff
tefius_bloody_gem, #fffff8
tefius_bottle, #6b973c
tefius_gem, #eaffe4
terra_crystal, #ffffff
terra_hammer, #ffffff
terra_hammer_active, #7cdd6b
terra_hammer_cross, #ffffff
terra_hammer_handle, #ffffff
terra_hammer_head, #eeffd9
terra_necklace, #bbe4b4
terra_shard, #ffffff
terrestrial_pills_levitation, #ffffff
terrible_tree_suit_boots, #edddfb
terrible_tree_suit_chestplate, #e8c8d7
terrible_tree_suit_helmet, #f4dae0
terrible_tree_suit_leggings, #fff0ff
the_cutting_abstract, #f8dabe
the_divider_of_the_heaven, #ffffff
the_empty_sky_sword, #eed4bf
the_first_prism, #ffffff
the_first_prism_blueprint, #ffebcd
the_great_old_ones_armor_boots, #5f3357
the_great_old_ones_armor_chestplate, #6c3e5f
the_great_old_ones_armor_helmet, #64395a
the_great_old_ones_armor_leggings, #522650
the_nile_dissector, #f7ebfc
the_stump_of_sword_of_the_hurb, #ffffff
the_sunbath, #ffffff
the_third_eye, #fffff4
the_ultimate_one, #cc94ac
thinking_stone, #ffffbb
thor_emblem, #ffffff
thorn_aror_boots, #aaaa97
thorn_aror_chestplate, #dcdcbb
thorn_aror_helmet, #b5b5a1
thorn_aror_leggings, #b8b8a5
throwable_barrel, #ffeed6
tick_stick, #ffffff
tin_archer_glove, #ffffff
tin_axe, #ffffd4
tin_door, #ffffff
tin_fishing_hook, #ffffff
tin_hoe, #fff7bc
tin_ingot, #ffffff
tin_key, #a29164
tin_nugget, #ffffff
tin_pickaxe, #fff8ca
tin_shovel, #ffffd6
tin_spear, #ffffff
tin_sword, #fffff7
tinted_glass_pane, #3d3640
titan_emblem, #d0d4f8
tommyknocker_root, #756452
tonic_jungle_spider, #ffffff
tonic_stone_troll, #ffffff
tonic_sweaty_prospector, #ffffff
topaz, #ffffff
topaz_armor_armor_boots, #ffffff
topaz_armor_armor_chestplate, #fffffa
topaz_armor_armor_helmet, #ffffff
topaz_armor_armor_leggings, #ffffff
topaz_grabber, #f4d4de
topaz_smithing_template, #c8c6a5
topazd_axe, #ffd978
topazd_hoe, #f0c566
topazd_pickaxe, #f8cd6c
topazd_shovel, #ffda7c
topazd_sword, #ffffff
torch_man_emblem, #ebb8b2
torn_netherite_sock, #fcfafb
totem_base, #ffffff
totem_of_death, #d6cacd
totem_of_eternal_darkness, #f5f0f0
totem_of_eternity, #ffffff
toxic_sword, #6990b4
trading_core, #fefffb
treasure_hunter_armor_boots, #2f4122
treasure_hunter_armor_chestplate, #48573a
treasure_hunter_armor_helmet, #555e4d
treasure_hunter_armor_leggings, #333926
treated_agate, #e3feff
treated_amber, #ffffb8
treated_corundum, #fffbff
treated_glowstone, #fff5bb
treated_ruby, #ffcfcf
treated_topaz, #fffff8
treated_uranium, #fbffff
treated_vampyre_jewel, #ffcdea
tropic_dart, #ffffff
tropic_moonshine, #ffffff
tropic_reed_door, #302f57
tropic_reed_planks_door, #97a4d6
tropic_spear, #ffffff
tropical_cake, #d3a2b4
tropical_cake_1, #d3a2b4
tropical_cake_2, #d3a2b4
tropical_cake_3, #d3a2b4
tropical_juice, #ffffff
tropical_sugar, #bebbf1
truadamantite_armor_boots, #f1ac9a
truadamantite_armor_chestplate, #d07362
truadamantite_armor_helmet, #d08378
truadamantite_armor_leggings, #de8064
truadamantite_axe, #ffffff
truadamantite_bloody_gem, #ffffff
truadamantite_brush, #e0b5a0
truadamantite_hoe, #ffffff
truadamantite_ingot, #ffffff
truadamantite_magnifier, #ffffff
truadamantite_magnifying_glass, #ffffff
truadamantite_nugget, #ffffff
truadamantite_pickaxe, #ffffff
truadamantite_shovel, #ffffff
truadamantite_sword, #ffffff
true_blades_of_the_sun, #fff0a7
tungsten_armor_boots, #a0a82f
tungsten_armor_chestplate, #bea534
tungsten_armor_helmet, #969730
tungsten_armor_leggings, #b6aa36
tungsten_ingot, #70a539
tungsten_nugget, #ffffff
turquoise, #ffffff
turquoise_1_axe, #9bf8cc
turquoise_1_hoe, #a2ddab
turquoise_1_pickaxe, #8eeabb
turquoise_1_shovel, #a0f2c3
turquoise_1_sword, #ffffff
turquoise_armor_armor_boots, #ffffff
turquoise_armor_armor_chestplate, #edffff
turquoise_armor_armor_helmet, #ffffff
turquoise_armor_armor_leggings, #ffffff
turquoise_smithing_template, #c9c5a4
ugly_sweater_chestplate, #b48e80
ultimate_world, #64c5ff
ultrabarrel, #fcffee
unahzaal_acid_bucket, #8a8c8a
unahzaal_armor_trim_smithing_template, #54724a
unahzaal_chain, #ffffff
unahzaal_glass_pane, #5f8a5f
unahzaal_mask_helmet, #ffffb8
unahzaal_multiverse, #aab1aa
unahzaal_music_disc, #36482a
unahzaal_pancakes, #ffffff
unahzaal_placeholder, #696e65
unahzaal_rune, #f8fff1
unahzaal_sphere, #fffff0
unahzaal_tentacle, #faffe3
undead_sword, #fffff2
underground_sword, #fafff5
unholy_candelabrum, #ffffff
universal_builders_boots_boots, #5c3311
unknown_god_smithing_template, #8d545a
unknown_gods_armor_boots, #3d304b
unknown_gods_armor_chestplate, #523a5f
unknown_gods_armor_helmet, #413a55
unknown_gods_armor_leggings, #391839
unsleepy_night, #ffffff
uranium, #ffffff
uranium_glass_pane, #22ff3d
uranium_nugget, #ffffff
uranium_prism_puncher, #ffffe4
uranium_sword, #4d304
vaccine, #ffffff
vampyre_armor_boots, #2c1416
vampyre_armor_chestplate, #321819
vampyre_armor_helmet, #1e0e11
vampyre_armor_leggings, #2c1516
vampyre_blood, #ffffff
vampyre_jewel, #ffffff
vampyre_smithing_template, #78c9ab
vampyre_sparkling_fist, #fff2f7
velocity_test, #ffaf23
venetium_armor_boots, #a7b4e8
venetium_armor_chestplate, #b99bae
venetium_armor_helmet, #908eb5
venetium_armor_leggings, #b5a4c2
venetium_brush, #dabbab
venetium_ingot, #7fc8ff
venetium_nugget, #ffffff
venison, #ff8373
venus_flytrap, #ffffff
vibe_emblem, #bcd3cd
vimbroses, #ffffff
violent_wing, #fff4f5
violet_shot_gun, #ffffff
vision_emblem, #f0fade
vital_dew, #c8bfd7
vital_soup, #e0d3d3
vivid_suit_chestplate, #ffffff
vivid_suit_helmet, #dcead3
vivid_suit_leggings, #ffffff
vividsoathsword, #f5edd9
void_boots_boots, #4a3015
vol_cave_air, #afaba0
volcanech, #ffeecd
volcanech_gravitator, #d9b5a0
volcanech_music_disc, #f8a255
volcanech_music_disc_ancient_battlefields_taser, #fe9e54
volcanech_music_disc_ash_valley_game_background, #f2aa66
volcanech_record, #f4a055
volcanic_charge, #906622
volcanic_glass_pane, #d2d2d2
volcanic_golem_statue_item, #52433a
volcanic_golem_suit_boots, #ffffff
volcanic_golem_suit_chestplate, #dac5b6
volcanic_golem_suit_helmet, #e7d9cd
volcanic_golem_suit_leggings, #fbf4f1
volcanite_stalactite, #ffffff
volcanite_stalagmite, #ffffff
warlock_armor_boots, #513e28
warlock_armor_chestplate, #a4522f
warlock_armor_helmet, #62473c
warlock_armor_leggings, #54342a
warped_crystal, #ffffff
warped_fish, #a2b6b8
warped_fishing_hook, #ffffff
warped_hammer, #ffffff
warped_moss, #ffffff
warped_moss_plant, #ffffff
warped_nether_wart, #ffffff
warped_nether_warts, #fbffff
warped_shard, #ffffff
warped_stone, #f5a29d
warrior_coin, #bf8282
warrior_smithing_template, #8394c8
warriors_flask, #ffffff
warzzinoth, #fffff5
wasterose, #ffe4ff
watching_sphere, #d39b9b
watching_sphere_blueprint, #b9b9b9
watching_staff, #e6f8e0
waves_uranium_shard, #ffffff
waxcao_fungus, #eef84a
waxcap_fungus_door, #ffffff
waxcap_stew, #ffe152
waybow, #9d907c
wearable_archangels_wings_chestplate, #faffff
wearable_arei_wings_chestplate, #ffcaff
weathered_copper_sword, #ffffff
whaler_armor_boots, #251f28
whaler_armor_chestplate, #3a3440
whaler_armor_helmet, #37343a
whaler_armor_leggings, #252329
whaler_fishing_rod, #895194
white_chocolate, #ffffff
white_chocolate_chip_cookie, #ffc072
white_chocolate_chip_cookie_with_blueberry, #ffb96e
white_coonskin_cap_helmet, #ffeabe
white_gold_armor_boots, #fffea2
white_gold_armor_chestplate, #ffffc3
white_gold_armor_helmet, #ffe48e
white_gold_armor_leggings, #ffffa5
white_leather_material, #d2e1fe
white_raccoon_fur, #ffffff
wild_bow, #979483
wild_dog_emblem, #cce4cc
wild_flameblossom, #ffd2c2
wineskin, #ffffff
winged_bow, #d7c6be
winter_amulet, #ffffff
winter_armor_boots, #ffffff
winter_armor_chestplate, #ffffff
winter_armor_helmet, #ffffff
winter_armor_leggings, #ffffff
winter_coat_chestplate, #d4eeff
witch_cone_fungus, #ae1e3e
witch_cone_fungus_door, #ffb4c0
witch_stew, #ffb278
witheroil, #3d3d3d
wolfberry, #7d6255
wolfberry_pie, #da8a1f
wonder_woman_emblem, #fffffb
wonderful_heart, #ff986e
wooden_cup, #ffffff
yasiden_door, #ffffc8
yasiden_sapling, #fffff1
yellow_amberwood_sapling, #ffffd7
yellow_gultrav_leather, #948254
young_dreadwood_door, #283746
young_dreadwood_planks_door, #c072a5
zoom_emblem, #bebfc6
